Ship Length,Pier 1,Pier 2,Pier 3
150 - 175 m,8.679091163688927e-05,8.92542341418666e-05,3.992076719411778e-06
175 - 200 m,0.0026913377770211903,0.0027521800551113134,0.00024354623705949012
200 - 225 m,0.00036778388193248044,0.0003758541528387683,3.583092783500631e-05
225 - 250 m,0.0005764653736755102,0.0005874674931373964,7.641620680136985e-05
250 - 275 m,2.6841995966312328e-05,2.7288758780690048e-05,4.668478434625703e-06
275 - 300 m,2.6378944155398877e-06,2.678469728226921e-06,5.280877964981308e-07
300 - 325 m,0.0,0.0,0.0
325 - 350 m,7.551511179570094e-07,7.643532984146347e-07,2.308986848236034e-07
350 - 375 m,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0
