Ship Length,Pier 1,Pier 2,Pier 3
150 - 175 m,5.000823911813814e-05,5.588839768149533e-06,4.775005581560475e-07
175 - 200 m,0.00048207595195107883,8.774803913900919e-05,1.3365274206688983e-05
200 - 225 m,6.077088522457476e-05,1.8736745136991285e-05,7.352295890925975e-06
225 - 250 m,0.0001541511290195652,5.0662841143303336e-05,1.5886078461466497e-05
250 - 275 m,1.569617536976622e-05,5.88398058639471e-06,2.139300681798841e-06
275 - 300 m,2.672760957081247e-06,9.999172641663138e-07,3.946852157275229e-07
300 - 325 m,1.1457038572497674e-06,5.517265444839921e-07,2.6555544134624466e-07
325 - 350 m,4.728437858351667e-06,2.5009525436892453e-06,1.364531525254364e-06
350 - 375 m,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0
Above 400 m,9.735358152498466e-07,6.108698413723082e-07,4.019013661395166e-07
