Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6
150 - 175 m,1.0029024997807731e-05,2.3953784798047413e-05,2.0783010454180342e-05,8.806760217186992e-06,3.4618117470287208e-06,2.4223725151428244e-06
175 - 200 m,0.0002947455896463899,0.0005849575843561533,0.0005040906485769566,0.0002588084379449425,0.00013110513573547094,0.00010017124761938578
200 - 225 m,3.949104180605453e-06,6.883630835406532e-06,6.104090074636786e-06,3.6162712802445016e-06,2.212892904806496e-06,1.8416224799098154e-06
225 - 250 m,4.4411361271172956e-05,7.12106486043301e-05,6.248553641350438e-05,4.080077452621299e-05,2.767096271935476e-05,2.3874586571008317e-05
250 - 275 m,2.4667917434443713e-06,3.56979611459154e-06,2.997987728846204e-06,2.2626694198375137e-06,1.671141806390253e-06,1.4803756804704359e-06
275 - 300 m,8.66060848349035e-07,1.1593039449739714e-06,9.783619993937663e-07,8.074636303361909e-07,6.619205767163366e-07,6.11708892301738e-07
300 - 325 m,0.0,0.0,0.0,0.0,0.0,0.0
325 - 350 m,0.0,0.0,0.0,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0,0.0,0.0
