Ship Length,Pier 1,Pier 2
150 - 175 m,0.0001142875937470161,0.00022881661523566494
175 - 200 m,0.0010228949419600036,0.002420635218130027
200 - 225 m,7.473017912428773e-05,0.0001665341770715088
225 - 250 m,0.000589177088781287,0.0018436885933979497
250 - 275 m,7.470527986584604e-05,0.00028984186770210894
275 - 300 m,2.059529196950952e-05,4.4475801454626105e-05
300 - 325 m,9.335774712354877e-08,2.9378374266597605e-07
325 - 350 m,4.933595499584793e-07,2.5759599150514517e-06
350 - 375 m,0.0,0.0
375 - 400 m,0.0,0.0
Above 400 m,0.0,0.0
