Ship Length,Pier 1,Pier 2
150 - 175 m,1.7738196352680272e-05,8.408459531707764e-06
175 - 200 m,0.00028040184726550125,0.00013467039608264133
200 - 225 m,2.6122008353340668e-05,1.2561931123863883e-05
225 - 250 m,1.4099156974245937e-05,6.854618016242899e-06
250 - 275 m,7.175438200126609e-06,3.5064589606804982e-06
275 - 300 m,1.1842428195594785e-05,5.796427564291804e-06
300 - 325 m,9.394429956961346e-07,4.612678203618913e-07
325 - 350 m,4.254934124980059e-07,2.1172402032853757e-07
350 - 375 m,0.0,0.0
375 - 400 m,0.0,0.0
Above 400 m,0.0,0.0
