Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6,Pier 7,Pier 8,Pier 9,Pier 10,Pier 11,Pier 12,Pier 13,Pier 14,Pier 15,Pier 16,Pier 17,Pier 18,Pier 19,Pier 20,Pier 21,Pier 22
150 - 175 m,2.672808810473075e-06,3.563177417785003e-06,4.634639261998664e-06,5.984823105025733e-06,7.45522425622862e-06,9.197241256552056e-06,1.1241464690087016e-05,1.3327859689788785e-05,1.5719466302322543e-05,1.7843788906241347e-05,2.010081850945347e-05,2.2800692390819547e-05,3.475462608473524e-05,3.507238957311346e-05,2.1686520176391356e-05,1.9784524158050404e-05,1.7630989810482802e-05,1.5258322210759916e-05,1.3037079077006178e-05,1.0936448719062434e-05,9.039341357751029e-06,7.26791054533241e-06
175 - 200 m,5.053168151526585e-06,6.450908028645048e-06,8.050738443855267e-06,1.000245534996027e-05,1.203811076391725e-05,1.4372929496276536e-05,1.704405426403396e-05,1.9686820010797628e-05,2.2665506585023923e-05,2.520513793626963e-05,2.788588461364971e-05,3.1101705844687704e-05,4.6101203778035785e-05,4.64136821248058e-05,2.9750857947348607e-05,2.7533184368468604e-05,2.4989778561015155e-05,2.209662171174893e-05,1.9339872449031834e-05,1.668130051222633e-05,1.4195933968346884e-05,1.1808744216996602e-05
200 - 225 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225 - 250 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250 - 275 m,1.1592100464101125e-07,1.3181293982053821e-07,1.4726545608590725e-07,1.6503543479899253e-07,1.8113693900745988e-07,1.9814425449451414e-07,2.1672379300519053e-07,2.3345597154028385e-07,2.5200005367317484e-07,2.652268265492075e-07,2.7963005493055453e-07,2.981692809980583e-07,4.108445364647778e-07,4.110310135912445e-07,2.895471409831112e-07,2.7843187906867486e-07,2.654103198881455e-07,2.4854791110072405e-07,2.3199919108601994e-07,2.155734214632954e-07,1.9834114719473827e-07,1.8069923744427885e-07
275 - 300 m,1.9854326406341608e-06,2.185131444000414e-06,2.372315564582621e-06,2.5826763662937175e-06,2.767338820211917e-06,2.9580283984830754e-06,3.1625453906103494e-06,3.342523362078343e-06,3.539404176937566e-06,3.6755204986279697e-06,3.823320197426162e-06,4.0134484536940265e-06,5.185116717007242e-06,5.1838398859734e-06,3.924312508341396e-06,3.8119259565504694e-06,3.679170252490179e-06,3.5030314129213433e-06,3.327876072897368e-06,3.151729243844698e-06,2.9622147464591873e-06,2.764282059041869e-06
300 - 325 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325 - 350 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
