Ship Length,Pier 1,Pier 2
150 - 175 m,0.0009848236454259593,0.0009227472570149887
175 - 200 m,0.006075037991753607,0.005763280733083931
200 - 225 m,0.0003421605620635392,0.00032620731916100656
225 - 250 m,0.0007562487136466435,0.0007246919756617
250 - 275 m,1.2812019759267383e-06,1.238685201422614e-06
275 - 300 m,2.6314548859604737e-05,2.544214990249604e-05
300 - 325 m,7.209576535303138e-07,6.980331545677336e-07
325 - 350 m,2.298871466139855e-06,2.24366006898054e-06
350 - 375 m,0.0,0.0
375 - 400 m,0.0,0.0
Above 400 m,0.0,0.0
