Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6
150 - 175 m,2.6190172095945374e-06,1.9551770625708802e-06,6.050853347835261e-07,2.0360277741023604e-07,4.731298650314497e-08,2.864151294514894e-09
175 - 200 m,3.510142736521093e-06,2.8751948548121273e-06,1.286521497170428e-06,6.187711566498476e-07,2.2549260109490456e-07,3.333191224544052e-08
200 - 225 m,0.0,0.0,0.0,0.0,0.0,0.0
225 - 250 m,3.123926887782216e-07,2.773679248570664e-07,1.6759723201449272e-07,1.1598064088748483e-07,5.8517742771829304e-08,1.911152432484764e-08
250 - 275 m,3.300482482048367e-07,2.972754226778911e-07,1.907368440477484e-07,1.3834509312748413e-07,7.558155119857513e-08,2.8262431811675314e-08
275 - 300 m,4.007230267897022e-07,3.6872776976431346e-07,2.59691407501939e-07,1.9990874082779286e-07,1.2453927769556297e-07,5.680534438285334e-08
300 - 325 m,0.0,0.0,0.0,0.0,0.0,0.0
325 - 350 m,0.0,0.0,0.0,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0,0.0,0.0
