Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6,Pier 7,Pier 8,Pier 9,Pier 10,Pier 11
150 - 175 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175 - 200 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200 - 225 m,2.5018068706813066e-07,6.003090652195878e-07,7.398444224468015e-07,8.838684973406551e-07,1.0118425518115483e-06,1.0862848549696755e-06,1.1717295063808908e-06,8.728408478903886e-07,5.406055515815409e-07,4.025065678500069e-07,2.3293243075386542e-07
225 - 250 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250 - 275 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275 - 300 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300 - 325 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325 - 350 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Above 400 m,1.7499562234200914e-06,3.302412319979702e-06,3.649057953825125e-06,3.7611779278783217e-06,3.8523408560224755e-06,3.893158630065006e-06,3.9792335186977466e-06,3.775006840212011e-06,3.459670687156502e-06,3.289490014175941e-06,1.8903997221026678e-06
