Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6,Pier 7
150 - 175 m,0.00029302272194511674,0.00020490933774226376,1.8965055688751888e-05,3.1713799326445466e-06,3.798529960866265e-07,2.9649661228154385e-08,1.6224187239665709e-09
175 - 200 m,0.0032035981132114326,0.0023961595820602742,0.00034090933849827306,8.067318631000154e-05,1.4631180450054682e-05,1.8805646307002153e-06,1.8186812290974382e-07
200 - 225 m,0.00043362847720798236,0.00034439829971782683,7.100292053653718e-05,2.2980831256572893e-05,6.072608391394503e-06,1.2272555057720523e-06,1.9919505016960723e-07
225 - 250 m,0.0009408221907207129,0.0007673530827361594,0.00018615146009020515,6.923623562455498e-05,2.162832262639715e-05,5.345408752403852e-06,1.0923808439977965e-06
250 - 275 m,5.4605586066934955e-05,4.656478753386363e-05,1.486452900664109e-05,6.971994745300447e-06,2.8783838869976236e-06,9.947732960753325e-07,2.9836411785838683e-07
275 - 300 m,4.771044928633196e-05,4.187134217571066e-05,1.6180868786963253e-05,8.776425151842893e-06,4.304882591130217e-06,1.8301591293969943e-06,6.949872555514943e-07
300 - 325 m,6.307938637614506e-05,5.595361370662262e-05,2.3338097466514412e-05,1.3335607980312491e-05,6.951912733847559e-06,3.179763042870361e-06,1.3118361708575404e-06
325 - 350 m,9.839005442931176e-06,8.911389598598359e-06,4.272841767068802e-06,2.7109571462599923e-06,1.5998696596925452e-06,8.49396944047845e-07,4.152580514595215e-07
350 - 375 m,8.022050283392311e-07,7.357163983053326e-07,3.829699651909067e-07,2.588276114852277e-07,1.6466412792424025e-07,9.568361337386349e-08,5.1850519042108166e-08
375 - 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0
