Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5,Pier 6,Pier 7,Pier 8,Pier 9,Pier 10,Pier 11
150 - 175 m,5.799722736147146e-06,6.957164082905661e-06,8.021087863606483e-06,8.809496032363899e-06,9.259132650874318e-06,1.8893446152550272e-06,3.591886599934614e-07,1.0394746069841464e-06,5.220053634146854e-06,8.980026146469738e-06,8.503528402679833e-06
175 - 200 m,0.000413241011080177,0.0005025017423640742,0.0005564167759399038,0.0005919974380567508,0.0006022999748867526,7.984776155542623e-05,6.01727653150479e-06,3.6498256775045944e-05,0.0002934407071315824,0.0005884615740925088,0.0005777830032703166
200 - 225 m,4.503403206403923e-06,5.574582639451347e-06,6.016697967387493e-06,6.271826924269063e-06,6.22836009722815e-06,4.723363523738258e-07,7.136473594495546e-06,1.734151552108949e-07,2.587784125985356e-06,6.11612362895669e-06,6.164494301972314e-06
225 - 250 m,1.4031656658229196e-05,1.7145914432405145e-05,1.8282555188128417e-05,1.8873439623115123e-05,1.8605714043739767e-05,1.3979753223738404e-06,2.1180461072076966e-05,5.128445368988732e-07,7.68777237376082e-06,1.8311964086683436e-05,1.861574677508234e-05
250 - 275 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275 - 300 m,4.70704307406974e-07,5.960718514602887e-07,6.202234515516795e-07,6.274960025979042e-07,5.996465037440156e-07,6.63162488225915e-07,6.81463729388008e-07,6.586936433291723e-07,1.7507869119811756e-07,5.933906305229454e-07,6.231059352721408e-07
300 - 325 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325 - 350 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
