Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5
150 - 175 m,0.00013276735641381198,0.00019515516334549167,0.00019349692993340047,5.810170111467313e-05,8.172348304284292e-06
175 - 200 m,0.000760433938741112,0.0010101646701249725,0.001006012459379985,0.0004152504020057938,9.772743325999363e-05
200 - 225 m,0.00020355476312406787,0.0002595791250633243,0.00026070096978882915,0.00012507369302310772,3.715476938433056e-05
225 - 250 m,4.729170102696077e-05,5.861302953864049e-05,5.980570732964847e-05,3.289617447920475e-05,1.1912946521465854e-05
250 - 275 m,1.2486831198030237e-05,1.4991086400527218e-05,1.5433894483897033e-05,9.619056061925112e-06,4.2123929710030575e-06
275 - 300 m,4.380895115990686e-06,5.142245302428535e-06,5.2906738810903975e-06,3.5229948572313034e-06,1.7216484741035308e-06
300 - 325 m,0.0,0.0,0.0,0.0,0.0
325 - 350 m,0.0,0.0,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0
Above 400 m,2.487961350302418e-06,2.6648219998998854e-06,2.7332046656342712e-06,2.3836447800280577e-06,1.8232801392419243e-06
