Ship Length,Pier 1,Pier 2,Pier 3
150 - 175 m,0.0002879634647932766,0.0003697356613134084,2.8590364995124957e-05
175 - 200 m,0.0032016324559506724,0.004016585108865219,0.0004714485612403594
200 - 225 m,0.0004470316326623705,0.0005531989171141002,9.14837252120157e-05
225 - 250 m,0.0009744107960108596,0.0011994874263050435,0.00023003056571341426
250 - 275 m,5.891607556479517e-05,7.180102389822197e-05,1.7740068307513186e-05
275 - 300 m,5.1057426712629216e-05,6.126915348371936e-05,1.8453932195811826e-05
300 - 325 m,6.820079079977246e-05,8.110666521859748e-05,2.6613242055331112e-05
325 - 350 m,1.0605992820468537e-05,1.2457326943471299e-05,4.725718244620383e-06
350 - 375 m,8.656782238427585e-07,1.0099713735719932e-06,4.1763608543545976e-07
375 - 400 m,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0
