Ship Length,Pier 1,Pier 2,Pier 3
150 - 175 m,8.775965572804829e-20,2.1576138615721104e-13,3.131120313868183e-11
175 - 200 m,5.708718466203255e-17,3.368321292290046e-12,1.3935789171323765e-10
200 - 225 m,2.469750030391001e-14,1.0100911520794741e-10,1.7207577350321113e-09
225 - 250 m,0.0,0.0,0.0
250 - 275 m,8.12678173291593e-12,2.124366371713424e-09,1.432649579786088e-08
275 - 300 m,0.0,0.0,0.0
300 - 325 m,0.0,0.0,0.0
325 - 350 m,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0
Above 400 m,0.0,0.0,0.0
