Ship Length,Pier 1,Pier 2
150 - 175 m,2.7070707032537836e-05,2.7760227773244803e-05
175 - 200 m,0.00033983816965661365,0.00034694387452497745
200 - 225 m,1.4759203338172642e-05,1.5027293399948265e-05
225 - 250 m,3.088662625336972e-05,3.134309484159085e-05
250 - 275 m,4.627649175001748e-07,4.6784548786874816e-07
275 - 300 m,3.4225467154376576e-07,3.4569288010445275e-07
300 - 325 m,0.0,0.0
325 - 350 m,1.943788544303168e-06,1.9582552400050943e-06
350 - 375 m,0.0,0.0
375 - 400 m,0.0,0.0
Above 400 m,0.0,0.0
