Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5
150 - 175 m,0.0,0.0,0.0,0.0,0.0
175 - 200 m,0.0,0.0,0.0,0.0,0.0
200 - 225 m,3.5439922597732233e-07,3.9477429758108065e-07,3.068697273112457e-07,1.9633370446401346e-07,1.485574416163451e-07
225 - 250 m,0.0,0.0,0.0,0.0,0.0
250 - 275 m,0.0,0.0,0.0,0.0,0.0
275 - 300 m,0.0,0.0,0.0,0.0,0.0
300 - 325 m,0.0,0.0,0.0,0.0,0.0
325 - 350 m,0.0,0.0,0.0,0.0,0.0
350 - 375 m,0.0,0.0,0.0,0.0,0.0
375 - 400 m,0.0,0.0,0.0,0.0,0.0
Above 400 m,3.3940122147676084e-06,3.4882063565281853e-06,3.333393082583687e-06,3.0719609676033644e-06,2.9289284904999e-06
